,id,start,end,x,y
0,CJoOwXcjhds,233.266,239.367,0.780469,0.670833
1,AvWWVOgaMlk,90.0,93.56666700000001,0.586719,0.311111
2,Y8HMIm8mdns,171.607767,174.607767,0.505729,0.24074099999999998
3,akwvpAiLFk0,144.68,150.0,0.698438,0.288889
4,Swss72CHSWg,90.023267,97.2972,0.230729,0.20463
5,ymD5uLlLc0g,36.033,40.9,0.341667,0.475926
6,DuWE-CQDlEk,211.26666699999998,221.7,0.788281,0.401389
7,uCGKDCWxqxo,16.56,30.0,0.420833,0.482407
8,-A9gdf3j2xo,295.165,298.165,0.507812,0.23333299999999998
9,labiHToR5nk,266.52,269.52,0.522656,0.243056
10,xbgfxIc-nbs,116.149367,119.98653300000001,0.504167,0.45
11,QoQF8N5ZsQA,240.00643300000002,244.96138900000003,0.45078100000000004,0.358333
12,307DK9nGQhw,64.097367,73.00626700000001,0.327604,0.17962999999999998
13,5qy9Ujv9XdM,61.494767,65.33193299999999,0.557813,0.39259299999999997
14,UBL2Vowiulk,30.113421999999996,33.616921999999995,0.725,0.393056
15,LcyrfLT2tto,95.5985,98.5985,0.47109399999999996,0.40972200000000003
16,sujFCXbYkMo,30.0,34.466667,0.528906,0.477778
17,R0u9E8GsUXk,114.46666699999999,118.16666699999999,0.8796870000000001,0.829167
18,bNxD_breZy8,198.734,201.734,0.539062,0.24027800000000002
19,AQDWwktBhaw,30.03,40.807433,0.46953100000000003,0.293056
20,Dtn8xZ3BiGY,114.31,119.828,0.489063,0.31666700000000003
21,Cy9SUMj5wGY,16.133333,30.0,0.789062,0.598611
22,8nQBG5hvjpk,283.286,286.286,0.792188,0.348611
23,rCp8Jae81KU,257.6,260.6,0.711979,0.37407399999999996
24,PmD-LzPS2rg,282.5823,285.5853,0.371875,0.425
25,BrCcDt6GNkk,281.333333,284.466667,0.55,0.244444
26,IrXrbrZWflA,203.169,209.976,0.416146,0.271296
27,512K2S3De-A,282.6824,288.855233,0.514844,0.338889
28,01qWxISqaHg,87.0,90.0,0.46875,0.303977
29,2f32XSMYlDk,73.440033,77.844433,0.15052100000000002,0.163889
30,lcClO5lHEjA,120.086633,124.991533,0.43906300000000004,0.348611
31,q1doqKlHRuY,18.9,23.333333,0.10208300000000001,0.834259
32,tdTXVU5wN8I,188.32,199.28,0.492188,0.421296
33,h-fSfAFufCo,153.9538,160.226733,0.496354,0.378704
34,srwckJKdeS0,174.36,177.44,0.51875,0.702778
35,DIWf1t-HzwI,74.20746700000001,77.21046700000001,0.471875,0.40555599999999997
36,YXcVkIEMGds,295.08,300.0,0.390104,0.198148
37,BsUzOhJ9WGU,53.053,59.993,0.497396,0.45
